"sample_ID","collect_date","Hour","depth","Gastropidae_density_NopL_rep.mean","Bosmina_BiomassConcentration_ugpL_rep.mean","Daphnia_BiomassConcentration_ugpL_rep.mean","Ceriodaphnia_BiomassConcentration_ugpL_rep.mean","Cyclopoida_BiomassConcentration_ugpL_rep.mean","Keratella_BiomassConcentration_ugpL_rep.mean","Kellicottia_BiomassConcentration_ugpL_rep.mean","Ploima_BiomassConcentration_ugpL_rep.mean","Gastropidae_BiomassConcentration_ugpL_rep.mean","Collothecidae_BiomassConcentration_ugpL_rep.mean","Conochilidae_BiomassConcentration_ugpL_rep.mean","Synchaetidae_BiomassConcentration_ugpL_rep.mean","Trichocercidae_BiomassConcentration_ugpL_rep.mean","Lepadella_BiomassConcentration_ugpL_rep.mean","Monostyla_BiomassConcentration_ugpL_rep.mean","Lecane_BiomassConcentration_ugpL_rep.mean","Calanoida_BiomassConcentration_ugpL_rep.mean","nauplius_BiomassConcentration_ugpL_rep.mean"
"F_pel_01Jul22_noon_schind_0.1","2022-07-01",12,"0.1",0,0.145346943372887,0,0,0.639596354329885,0.000528356903338679,0,0.164511444817029,0,0,0.766582576309826,0,0.16398308791369,0,0,0,0.00725335424243397,0.468572852441883
"F_pel_01Jul22_noon_schind_1.0","2022-07-01",12,"1.0",0,0.1707888538979,0,0,0.514401349597244,0.000522758419594693,0,0.173539699664674,0,0,0.660161947805803,0,0.173016941245079,0,0,0,0.052138612829688,0.716756682091152
"F_pel_01Jul22_noon_schind_2.0","2022-07-01",12,"2.0",0,0.537859593328036,0,0.0120406677081459,0.333300684744051,0.00835412742382271,0.000466540311998834,0.225776768465077,0,0,0.548071093399858,0.0297545414783497,0.142004451572144,0,0,0,0.0373083104316771,1.03661806433326
"F_pel_01Jul22_noon_schind_3.0","2022-07-01",12,"3.0",0,0.214029849098023,0,0.078801391787987,0.604995097888396,0.00260329494095349,0.000816445545997959,0.0920792517683026,0,0,0.229305797735335,0.022151256256986,0.0397299509160714,0,0,0,0.00993100387649371,1.54061965926291
"F_pel_01Jul22_noon_schind_4.0","2022-07-01",12,"4.0",0,0.363295716203224,0,0.0218836063765684,0.641412086057825,0.000854235311269864,0.000174952616999562,0.00325862856587452,0,0,0.200368620304223,0.0022294406376051,0,0,0,0,0.0214972603190347,0.652472723724832
"F_pel_01Jul22_noon_schind_5.0","2022-07-01",12,"5.0",0,0.390796506562605,0,0.0926108728420774,0.598836614376105,0.00572997813092288,0.000852185866327871,0.092690970786915,0,0,0.204388935218934,0.00373333333333334,0.0726529231666424,0,0,0,0.0388551530408324,0.862449319408395
"F_pel_01Jul22_noon_schind_6.0","2022-07-01",12,"6.0",0,0.41399974566992,0,0.0681663393048415,0.856426914479829,0.00541857413617145,0.00099139816299752,0.525317077605207,0,0,0.583076611195578,0.0072701754385965,0.271302003855438,0,0,0,0.0294736067380306,1.08548987027154
"F_pel_01Jul22_noon_schind_7.0","2022-07-01",12,"7.0",0,0.372374649212805,0,0.006020333854073,0.996549304963164,0.00533339553870826,0.000485843417407786,0.346647817523278,0,0,0.504520241207821,0.00929659328376345,0.303866802740924,0,0,0,0,0.81071020274945
"F_pel_01Jul22_noon_schind_8.0","2022-07-01",12,"8.0",0,0.183276084157133,0,0,0.311809648840232,0.00128415220877679,0.000349905233999125,0.160815851767419,0,0,0.247139082794706,0.00752871652816251,0.131169286096127,0,0,0,0.0053293816211528,0.400723012759093
"F_pel_01Jul22_noon_schind_9.0","2022-07-01",12,"9.0",0,0.343898632612121,0,0.0201053415841824,0.536932399429714,0.00323149147105992,0.000217466102930457,0.0727256840161345,0,0,0.438973060212859,0.00194368469650581,0.067022559168003,0,0.000310482577635224,0,0,0.452158857441363
"F_pel_10Jun21_noon_schind_0.1","2021-06-10",12,"0.1",0.866666666666665,0.0103502707759434,0,0,0.332061872998694,0.00174237255187831,0,0.175737913624369,0.0322422455029541,0,0.0807217637815683,0.00108859406133061,0.0865731642124705,0,0,0.000427078777275599,0,0.439091676373678
"F_pel_10Jun21_noon_schind_1.0","2021-06-10",12,"1.0",1.3,0.0236726560055898,0,0,0.150020406703736,0.00218200903921855,0,0.299373420400396,0.044319320924657,0,0.0218447003936434,0.00510713903873257,0.153954570637119,0,0,0,0,0.767063861567584
"F_pel_10Jun21_noon_schind_2.0","2021-06-10",12,"2.0",0.533333333333334,0.0821222039159554,0,0,0.250809404295674,0.000352704475871118,0,0.420435207947273,0.0197988304093567,0,0.0614376154606276,0.0133164627172733,0.333407513242941,0,0,0,0,0.941618993679677
"F_pel_10Jun21_noon_schind_3.0","2021-06-10",12,"3.0",0.333333333333333,0.0501873085046151,0.0810359096869915,0,0.199854296428563,0.00301944889925645,0,0.167404694561889,0.0108794868056568,0,0.0834573485470493,0.00728106137920983,0.146224697477767,0,0,0,0,0.705519683581126
"F_pel_10Jun21_noon_schind_4.0","2021-06-10",12,"4.0",0.266666666666667,0.0562271687869932,0.0144671653229362,0,0.166228036288118,0.00578523983087914,0,0.232272817778518,0.0105702483355202,0,0.0841148751842671,0.0152212664625552,0.195852767653205,0,0,0,0,0.694601497143635
"F_pel_10Jun21_noon_schind_5.0","2021-06-10",12,"5.0",0,0.0214549365499358,0.476542288667468,0.006020333854073,0.488558744715611,0.00620965155270447,7.7620644408806e-05,0.0999666042414439,0,0.022019536375565,0.0775059532487729,0.0370039247703747,0.0370471886086408,0,0,0.000427078777275599,0,1.16347745787462
"F_pel_10Jun21_noon_schind_6.0","2021-06-10",12,"6.0",0,0.0867296788876823,0.507374275882079,0,0.443226910383007,0.0077639772561598,0.000120134130339699,0.203908324828693,0,0,0.182840966127229,0.0152088837051076,0.167509899402245,0,0,0.000960489867327599,0,1.0164201787664
"F_pel_10Jun21_noon_schind_7.0","2021-06-10",12,"7.0",0,0.0503826604682057,0.323295616231412,0.0449305532186533,0.549389546143023,0.00497695874034116,0,0.143711475243571,0,0,0.123428018043093,0.0157705710259027,0.093538844340769,0,0,0,0.0257613084214646,1.02448445008698
"F_pel_10Jun21_noon_schind_8.0","2021-06-10",12,"8.0",0,0.0415973979213568,0.382214017640123,0.0120926746707264,0.607220668731831,0.00484749380376148,0,0.370512239120621,0,0,0.169729806510737,0.0157824367011712,0.289365330223064,0,0,0,0.0118671528394928,1.10614807248453
"F_pel_10Jun21_noon_schind_9.0","2021-06-10",12,"9.0",0,0.0526715520087227,0.356957134850598,0.00476693052988691,0.443004782479868,0.00490520484035573,0,0.313876354446933,0,0,0.126048838994994,0.0170048783504973,0.25982563055839,0,0,0,0,0.948604481705742
"F_pel_11Jun21_midnight_schind_0.1","2021-06-11",0,"0.1",0.816666666666667,0.286776252244955,0,0,0.417169172280516,0.00181250911211547,7.7620644408806e-05,0.313224626288338,0.026438630951592,0,0.00345251494386937,0.00148484229965496,0.263319084414638,0,0,0,0,0.681594018257561
"F_pel_11Jun21_midnight_schind_1.0","2021-06-11",0,"1.0",1.1,0.354687054283146,0,0,0.372837141830884,0.000477737279486806,0,0.259312390137136,0.0289518588715556,0,0.0104277980269233,0,0.164469300675512,0,0,0,0,0.527189128732491
"F_pel_11Jun21_midnight_schind_2.0","2021-06-11",0,"2.0",1.06666666666667,0.281005633978553,0.0554428639266565,0,0.222262960166264,0.00209919813383876,0,0.530445881448419,0.0330934839447167,0,0.0069626476162706,0.00496290032560626,0.385706215677698,0,0,0.00065607231374836,0,0.645723050677998
"F_pel_11Jun21_midnight_schind_3.0","2021-06-11",0,"3.0",0.783333333333333,0.236511449488942,0.295781060136893,0,0.146612216626078,0.00324268843854789,0,0.110764007112746,0.0279441487012726,0,0.00852894007872866,0.00716548897636522,0.0668749769159741,0,0,0.000796228799144675,0.047549445668379,0.665235794485262
"F_pel_11Jun21_midnight_schind_4.0","2021-06-11",0,"4.0",0.6,0.201608044888447,0.425993839426792,0,0.494007028268363,0.00425788015745735,0,0.1775586895833,0.0193674034538351,0,0.0128492588812752,0.00849779851290277,0.14210553530641,0,0,0.000335909024639161,0.0492249559705515,0.662054026575663
"F_pel_11Jun21_midnight_schind_5.0","2021-06-11",0,"5.0",0,0.200671077406663,0.932483978421043,0,0.492449543062049,0.00361498760752297,4.25134859308937e-05,0.166149622342779,0,0,0.0309708768689961,0.0243006852310832,0.118265947417019,0,0,0,0.0249133496081859,0.73165726802
"F_pel_11Jun21_midnight_schind_6.0","2021-06-11",0,"6.0",0,0.199365086571712,1.01048110833454,0.0250005007598315,0.505582080539727,0.00622677358215483,5.8317538999854e-05,0.186789840377827,0,0,0.0493622199543179,0.0224440336297808,0.116523263838266,0,0,0,0.0232042151700259,0.732423518223692
"F_pel_11Jun21_midnight_schind_7.0","2021-06-11",0,"7.0",0,0.140163831885504,0.70764221041631,0.0423139247314457,0.292189898325501,0.00460568596005249,0,0.136671287474021,0,0,0.0716046006058545,0.0128425251494387,0.119396063566117,0,0,0,0.055668449884642,1.11037694435948
"F_pel_11Jun21_midnight_schind_8.0","2021-06-11",0,"8.0",0,0.253643926345495,1.11979063941323,0,0.426677751094153,0.00786652281673713,0,0.105167578275833,0,0.0372579093162268,0.0757347456780961,0.0170605549885795,0.0698438061913785,0.000335909024639161,0,0.000427078777275599,0.0180243919425861,0.788118937816233
"F_pel_11Jun21_midnight_schind_9.0","2021-06-11",0,"9.0",0,0.242963805606471,1.28936018229861,0,0.638738341543104,0.00585069543665257,0,0.227096742458338,0,0,0.079141757625828,0.0131592515915828,0.153737240608447,0,0,0,0.0348201353244541,0.848677652647692
"F_pel_11Sep20_noon_schind_0.1","2020-09-11",12,"0.1",0,0.196224979041685,0,0.0327432499970893,0.0670797480034433,0.00571385916314332,0,0.0312619332264179,0,0,0.000736900422802158,0.0287725207756233,0,0,0,0,0,1.50721219713381
"F_pel_11Sep20_noon_schind_1.0","2020-09-11",12,"1.0",0.0333333333333333,0.0987746593084786,0,0.0215745287679198,0.11165314824502,0.00521125528502697,0,0.0765901035136318,0.0017083151091024,0,0,0.0119592943577781,0.0545852165038636,0,0,0,0,1.52987426945184
"F_pel_11Sep20_noon_schind_2.0","2020-09-11",12,"2.0",0,0.515930887137811,0,0.0265739216266373,0.176818381698906,0.010627228458959,8.50269718617874e-05,0.0410241036991875,0,0,0,0.0247890681122348,0,0,0,0,0.0348253762172565,1.13618736407917
"F_pel_11Sep20_noon_schind_3.0","2020-09-11",12,"3.0",0.0666666666666667,0.646543159389776,0,0.0819510254638712,0.442624857792066,0.0130433474267386,0,0.0720608016615383,0.00302240365456578,0,0.0294045001700928,0.019769739029013,0.0173601205229139,0,0,0,0,2.39534424088264
"F_pel_11Sep20_noon_schind_4.0","2020-09-11",12,"4.0",0,0.301321611780967,0,0.012040667708146,0.309130287437654,0.00869351217378627,0.000155241288817612,0.0205755791567134,0,0,0.0527091023958789,0.00108859406133061,0.00828077951110464,0,0,0,0.0113437190274962,0.889046106796386
"F_pel_11Sep20_noon_schind_5.0","2020-09-11",12,"5.0",0,0.429435280129994,0,0.0149635529501175,0.908332762507903,0.00905444472425082,0.00051214462749672,0.0145902577311237,0,0,0.00866894105068766,0.00434675608689314,0,0,0,0,0.0143410670540047,0.498877269893291
"F_pel_11Sep20_noon_schind_6.0","2020-09-11",12,"6.0",0,0.492113574759235,0,0.051611359928472,0.851699904487688,0.0118575885697624,0.000116635077999708,0.047109826947121,0,0,0,0.0112386450891772,0.0151039315740876,0,0,0,0.0120541382965089,0.941942162119411
"F_pel_11Sep20_noon_schind_7.0","2020-09-11",12,"7.0",0,0.434067363872611,0,0.0541616740296168,0.304050380212225,0.00563114156582592,0.000116635077999708,0.111208358847257,0,0,0.0027737376682704,0.00579567478252418,0.0993814841813676,0.000283423239539291,0,0,0.00605951198927618,0.709397910522964
"F_pel_11Sep20_noon_schind_8.0","2020-09-11",12,"8.0",0,0.376906815340379,0,0.0384655599156675,0.474107835399718,0.00795815133401371,0,0.0881502259804636,0,0,0.00915414297516645,0.00477892792924139,0.0493066239004714,0,0,0,0,0.88491151063697
"F_pel_11Sep20_noon_schind_9.0","2020-09-11",12,"9.0",0,0.3996442872524,0,0.012040667708146,0.405214627536292,0.00800863099577198,0.000116635077999708,0.140751821937114,0,0.019202799241872,0.00356623414491909,0.0116550323176362,0.0912503085969772,0,0,0,0.0374502515885478,0.795231250449621
"F_pel_15Sep20_noon_schind_0.1","2020-09-15",12,"0.1",0,0.0476464511114842,0,0,0.0503981886346409,0.00311648928415221,0,0.0878669582543617,0,0,0.11290901491957,0.0120975458035671,0.0726529231666424,0,0,0,0,0.79827908258062
"F_pel_15Sep20_noon_schind_1.0","2020-09-15",12,"1.0",0,0.1013742354033,0,0,0.118293627826599,0.00191094911794722,0,0.0630897798512903,0,0,0.137704615526277,0.0118722068328717,0.0493066239004714,0,0,0,0.0340754619910564,1.12219376956191
"F_pel_15Sep20_noon_schind_2.0","2020-09-15",12,"2.0",0,0.173383946868133,0,0,0.189057419875896,0.00189975215045925,0,0.124398153277932,0,0,0.0991811545989123,0.00768547407299412,0.114812927054478,0,0,0,0.0876239128132727,0.398285312020708
"F_pel_15Sep20_noon_schind_3.0","2020-09-15",12,"3.0",0,0.216698494393518,0,0,0.25785343836413,0.00799136900422802,0,0.106904291198911,0,0,0.0826071438985275,0.0122477717840307,0.0866651504106527,0,0,0,0.0485193635221673,0.415646825853509
"F_pel_15Sep20_noon_schind_4.0","2020-09-15",12,"4.0",0,0.134100731422664,0,0,0.432125765299419,0.00217501093453856,0,0.0138888273314866,0,0,0.0708584341740779,0.00144891869563105,0.0165615590222093,0,0,0,0,1.00662942670851
"F_pel_15Sep20_noon_schind_5.0","2020-09-15",12,"5.0",0,0.178038519431194,0,0,0.603645474384441,0.00326251640180784,0.000233270155999417,0.0192435437624532,0,0,0.0742566888134464,0.0018810905379793,0.0138666666666667,0,0,0,0.0220639726886546,0.96196285984693
"F_pel_15Sep20_noon_schind_6.0","2020-09-15",12,"6.0",0,0.395821788612183,0,0,0.571477964691249,0.0063589444525441,0,0.0562470330952034,0,0,0.0480998285186651,0.0055082859503329,0.0443798026923264,0,0,0,0.094021628083029,0.680923392223667
"F_pel_15Sep20_noon_schind_7.0","2020-09-15",12,"7.0",0,0.274257429177763,0,0,0.204912737587169,0.00155404577926812,0,0.0162896326689299,0,0,0.0396321524031686,0.00441860329494095,0.0165615590222093,0,0,0,0.0430635205876853,0.501214662908262
"F_pel_15Sep20_noon_schind_8.0","2020-09-15",12,"8.0",0,0.232947440199766,0,0,0.306615969211213,0.00388348155707829,0,0.143052612139768,0,0,0.0987083259721734,0.0126951839432376,0.126473946639452,0,0,0,0.00471733413916847,0.416471688337894
"F_pel_15Sep20_noon_schind_9.0","2020-09-15",12,"9.0",0,0.167400381786163,0,0,0.418825151826562,0.00357136608835107,0,0.0160413665743306,0,0,0.103062852699616,0.00253751275696166,0.00993248772901784,0,0,0,0,0.359002491267398
