"sample_ID","collect_date","Hour","depth","campaign_num","Bosminidae_density_NopL_rep.mean","Daphnia_density_NopL_rep.mean","Ceriodaphnia_density_NopL_rep.mean","Cyclopoida_density_NopL_rep.mean","Rotifera_density_NopL_rep.mean","Calanoida_density_NopL_rep.mean","nauplius_density_NopL_rep.mean"
"F_pel_01Jul22_noon_schind_4.0","2022-07-01",12,"4.0",4,1.45,0,0.05,1.01666666666667,1.98333333333333,0.05,0.75
"F_pel_01Jul22_noon_schind_5.0","2022-07-01",12,"5.0",4,1.68333333333333,0,0.1,1.1,2.75,0.05,0.933333333333333
"F_pel_01Jul22_noon_schind_6.0","2022-07-01",12,"6.0",4,1.55,0,0.05,1.73333333333333,6.98333333333331,0.0333333333333333,1.25
"F_pel_01Jul22_noon_schind_7.0","2022-07-01",12,"7.0",4,1.7,0,0.0166666666666666,1.28333333333333,6.28333333333333,0,0.916666666666669
"F_pel_01Jul22_noon_schind_8.0","2022-07-01",12,"8.0",4,0.75,0,0,0.6,2.51666666666666,0.0166666666666666,0.433333333333333
"F_pel_01Jul22_noon_schind_9.0","2022-07-01",12,"9.0",4,1.36666666666667,0,0.05,0.766666666666666,4.98333333333333,0,0.516666666666667
"F_pel_10Jun21_noon_schind_0.1","2021-06-10",12,"0.1",3,0.0999999999999998,0,0,0.75,2.06666666666667,0,0.533333333333333
"F_pel_10Jun21_noon_schind_1.0","2021-06-10",12,"1.0",3,0.133333333333333,0,0,0.433333333333333,2.01666666666666,0,0.916666666666665
"F_pel_10Jun21_noon_schind_2.0","2021-06-10",12,"2.0",3,0.316666666666666,0,0,0.433333333333333,1.46666666666667,0,1.11666666666666
"F_pel_10Jun21_noon_schind_3.0","2021-06-10",12,"3.0",3,0.183333333333334,0.0333333333333333,0,0.466666666666667,1.78333333333333,0,0.883333333333335
"F_pel_10Jun21_noon_schind_4.0","2021-06-10",12,"4.0",3,0.25,0.0166666666666666,0,0.366666666666666,1.81666666666667,0,0.866666666666666
"F_pel_10Jun21_noon_schind_5.0","2021-06-10",12,"5.0",3,0.2,0.15,0.0166666666666666,0.7,1.88333333333333,0,1.41666666666666
"F_pel_10Jun21_noon_schind_6.0","2021-06-10",12,"6.0",3,0.45,0.0999999999999998,0,0.666666666666667,2.7,0,1.2
"F_pel_10Jun21_noon_schind_7.0","2021-06-10",12,"7.0",3,0.316666666666666,0.1,0.0166666666666666,0.683333333333334,1.66666666666667,0.0166666666666666,1.18333333333333
"F_pel_10Jun21_noon_schind_8.0","2021-06-10",12,"8.0",3,0.3,0.1,0.0333333333333333,0.866666666666666,2.65,0.0166666666666666,1.33333333333334
"F_pel_10Jun21_noon_schind_9.0","2021-06-10",12,"9.0",3,0.266666666666667,0.0833333333333331,0.0166666666666666,0.616666666666666,2.05,0,1.13333333333333
"F_pel_11Jun21_midnight_schind_0.1","2021-06-11",0,"0.1",3,0.9,0,0,0.466666666666667,1.28333333333333,0,0.816666666666667
"F_pel_11Jun21_midnight_schind_1.0","2021-06-11",0,"1.0",3,0.866666666666667,0,0,0.433333333333333,1.46666666666667,0,0.633333333333333
"F_pel_11Jun21_midnight_schind_2.0","2021-06-11",0,"2.0",3,0.783333333333333,0.0166666666666666,0,0.333333333333333,1.7,0,0.783333333333333
"F_pel_11Jun21_midnight_schind_3.0","2021-06-11",0,"3.0",3,0.666666666666667,0.0833333333333333,0,0.266666666666667,1.33333333333334,0.0333333333333333,0.783333333333333
"F_pel_11Jun21_midnight_schind_4.0","2021-06-11",0,"4.0",3,0.5,0.116666666666667,0,0.483333333333334,1.45,0.05,0.8
"F_pel_11Jun21_midnight_schind_5.0","2021-06-11",0,"5.0",3,0.633333333333334,0.216666666666667,0,0.433333333333334,1.21666666666667,0.0166666666666666,0.883333333333333
"F_pel_11Jun21_midnight_schind_6.0","2021-06-11",0,"6.0",3,0.65,0.2,0.0166666666666666,0.45,1.95,0.0333333333333333,0.866666666666667
"F_pel_11Jun21_midnight_schind_7.0","2021-06-11",0,"7.0",3,0.516666666666666,0.216666666666667,0.0166666666666666,0.4,1.61666666666666,0.0333333333333333,1.35
"F_pel_11Jun21_midnight_schind_8.0","2021-06-11",0,"8.0",3,0.666666666666667,0.233333333333334,0,0.3,1.75,0.0166666666666666,0.95
"F_pel_11Jun21_midnight_schind_9.0","2021-06-11",0,"9.0",3,0.916666666666669,0.233333333333334,0,0.416666666666667,1.95,0.0333333333333333,1.01666666666667
"F_pel_11Sep20_noon_schind_0.1","2020-09-11",12,"0.1",1,0.533333333333333,0,0.0666666666666667,0.2,1.1,0,1.7
"F_pel_11Sep20_noon_schind_1.0","2020-09-11",12,"1.0",1,0.3,0,0.0666666666666667,0.266666666666667,0.766666666666667,0,1.66666666666667
"F_pel_11Sep20_noon_schind_2.0","2020-09-11",12,"2.0",1,1.43333333333333,0,0.0333333333333333,0.433333333333333,1.23333333333333,0.1,1.36666666666667
"F_pel_11Sep20_noon_schind_3.0","2020-09-11",12,"3.0",1,1.5,0,0.133333333333333,1.03333333333333,1.86666666666667,0,2.73333333333333
"F_pel_11Sep20_noon_schind_4.0","2020-09-11",12,"4.0",1,0.733333333333333,0,0.0333333333333333,0.6,2.43333333333333,0.0333333333333333,1.1
"F_pel_11Sep20_noon_schind_5.0","2020-09-11",12,"5.0",1,0.766666666666667,0,0.0333333333333333,1.13333333333333,0.966666666666667,0.0333333333333333,0.6
"F_pel_11Sep20_noon_schind_6.0","2020-09-11",12,"6.0",1,1.03333333333333,0,0.0666666666666667,1.76666666666667,1.06666666666667,0.0333333333333333,1.1
"F_pel_11Sep20_noon_schind_7.0","2020-09-11",12,"7.0",1,0.966666666666667,0,0.1,0.633333333333333,0.733333333333333,0.0333333333333333,0.833333333333333
"F_pel_11Sep20_noon_schind_8.0","2020-09-11",12,"8.0",1,0.8,0,0.1,0.7,0.866666666666667,0,1
"F_pel_11Sep20_noon_schind_9.0","2020-09-11",12,"9.0",1,1.03333333333333,0,0.0333333333333333,0.566666666666667,0.966666666666667,0.0333333333333333,0.933333333333333
"F_pel_15Sep20_noon_schind_0.1","2020-09-15",12,"0.1",4,0.366666666666667,0,0,0.166666666666667,1.93333333333333,0,0.966666666666667
"F_pel_15Sep20_noon_schind_1.0","2020-09-15",12,"1.0",4,0.5,0,0,0.3,2,0.166666666666667,1.26666666666667
"F_pel_15Sep20_noon_schind_2.0","2020-09-15",12,"2.0",4,0.6,0,0,0.466666666666667,1.7,0.0666666666666667,0.5
"F_pel_15Sep20_noon_schind_3.0","2020-09-15",12,"3.0",4,0.7,0,0,0.6,2.63333333333333,0.0666666666666667,0.5
"F_pel_15Sep20_noon_schind_4.0","2020-09-15",12,"4.0",4,0.666666666666667,0,0,0.833333333333333,1.26666666666667,0,1.16666666666667
"F_pel_15Sep20_noon_schind_5.0","2020-09-15",12,"5.0",4,0.633333333333333,0,0,0.933333333333333,1.53333333333333,0.1,1.13333333333333
"F_pel_15Sep20_noon_schind_6.0","2020-09-15",12,"6.0",4,1.03333333333333,0,0,0.766666666666667,1.26666666666667,0.133333333333333,0.866666666666667
"F_pel_15Sep20_noon_schind_7.0","2020-09-15",12,"7.0",4,1,0,0,0.466666666666667,1.33333333333333,0.0666666666666667,0.6
"F_pel_15Sep20_noon_schind_8.0","2020-09-15",12,"8.0",4,0.666666666666667,0,0,0.6,2.8,0.0333333333333333,0.533333333333333
"F_pel_15Sep20_noon_schind_9.0","2020-09-15",12,"9.0",4,0.5,0,0,0.566666666666667,2.3,0,0.433333333333333
